chapter,script,label,value,expected,err_pct,unit,status
app_p,proof_app_p_eml,"e = eml(1, 1)",2.718281828459045,2.718281828459045,0.0,,PASS
app_p,proof_app_p_eml,"exp(2) = eml(2, 1)",7.38905609893065,7.38905609893065,0.0,,PASS
app_p,proof_app_p_eml,ln(3) via EML circuit,1.0986122886681098,1.0986122886681098,0.0,,PASS
app_p,proof_app_p_eml,q_therm(15) via EML,0.9355069850316178,0.9355069850316178,0.0,,PASS
app_p,proof_app_p_eml,1/alpha_nue = prod sin2_stat,136.27833445429476,136.278,0.000245,,PASS
app_p,proof_app_p_eml,prod q_therm^p = 1/e (exact),0.3678794411714425,0.36787944117144233,0.0,,PASS
app_p,proof_app_p_eml,sum p / mu* = 1,1.0,1.0,0.0,,PASS
app_p,proof_app_p_eml,C_K asym 1-term (0.12%),18.321041372402547,18.299716840387095,0.116529,,PASS
app_p,proof_app_p_eml,C_K asym 2-term (5.68 ppm),18.299820713323626,18.299716840387095,0.000568,,PASS
app_p,proof_app_p_eml,C_K asym 3-term (14 ppb),18.299717098759903,18.299716840387095,1e-06,,PASS
app_p,proof_app_p_eml,m_tau/m_mu D2 1-term (80 ppm),16.81567474368105,16.81702933242618,0.008055,,PASS
app_p,proof_app_p_eml,m_tau/m_mu D2 2-term (3.58 ppm),16.81708945428631,16.81702933242618,0.000358,,PASS
app_p,proof_app_p_eml,m_tau/m_mu D2 3-term (4.74 ppb),16.817029412103413,16.81702933242618,0.0,,PASS
app_p,proof_app_p_eml,Sum p*gamma 1-term (27 ppm),10.072973525692838,10.072700488239345,0.002711,,PASS
app_p,proof_app_p_eml,Sum p*gamma 2-term (0.48 ppm),10.072705325950693,10.072700488239345,4.8e-05,,PASS
app_p,proof_app_p_eml,Sum p*gamma 3-term (2 ppb),10.072700468526834,10.072700488239345,0.0,,PASS
app_p,proof_app_p_eml,g_00 = sum da_p/dmu (exact),-0.005749317564484651,-0.005749317564484651,0.0,,PASS
app_p,proof_app_p_eml,Identity holds at mu=8,-0.003864502856241112,-0.003864502856241112,0.0,,PASS
app_p,proof_app_p_eml,Identity holds at mu=12,-0.006618803344889039,-0.006618803344889038,0.0,,PASS
app_p,proof_app_p_eml,Identity holds at mu=18,-0.004750555725755648,-0.004750555725755648,0.0,,PASS
app_p,proof_app_p_eml,Identity holds at mu=25,-0.003053351384580304,-0.0030533513845803044,0.0,,PASS
app_p,proof_app_p_eml,Identity holds at mu=50,-0.0009710798654340557,-0.0009710798654340557,0.0,,PASS
app_p,proof_app_p_eml,1/alpha_nue (EML),136.27833445429476,136.278,0.000245,,PASS
app_p,proof_app_p_eml,gamma_3 (PT),0.8076140384111393,0.808,0.047768,,PASS
app_p,proof_app_p_eml,gamma_5 (PT),0.6963158584805759,0.696,0.045382,,PASS
app_p,proof_app_p_eml,gamma_7 (PT),0.5954684400861497,0.595,0.078729,,PASS
app_p,proof_app_p_eml,sin2(theta_12) PMNS = 1 - gamma_5,0.30368414151942413,0.3037,0.005222,,PASS
app_q,proof_app_q,beta_ghost = sum sin^2 * gamma (expected ~0.104),0.1039308008964987,0.104,0.066538,,PASS
app_q,proof_app_q,sin^2(theta_W) = gamma_7^2/sum gamma^2,0.23770710276110066,0.2377,0.002988,,PASS
app_q,proof_app_q,sin^2(theta_12) = 1 - gamma_5,0.30368414151942413,0.304,0.103901,,PASS
app_q,proof_app_q,A_CKM = gamma_3,0.8076140384111393,0.808,0.047768,,PASS
app_q,proof_app_q,A_CKM = gamma_3 (bridge rule),0.8076140384111393,0.808,0.047768,,PASS
app_r,proof_app_r,gamma_3(15),0.8076140384111393,0.8076,0.001738,,PASS
app_r,proof_app_r,gamma_5(15),0.6963158584805759,0.6963,0.002278,,PASS
app_r,proof_app_r,gamma_7(15),0.5954684400861497,0.5955,0.0053,,PASS
app_r,proof_app_r,Gap gamma_7 - gamma_11 (robustness),0.16973530435317846,0.17,0.155703,,PASS
app_s,proof_app_s,Phi(15) = 1/e,0.36787944117144233,0.36787944117144233,0.0,,PASS
app_s,proof_app_s,S(15) = sum gamma_p,2.099398336977865,2.099,0.018977,,PASS
ch01,proof_T1_sieve,route_C_eigenvalue_minus1,-1.0,-1.0,0.0,,PASS
ch01,proof_T1_sieve,route_C_eigenvalue_plus1,1.0,1.0,0.0,,PASS
ch01,proof_T1_sieve,stationary_pi_0,0.5,0.5,0.0,,PASS
ch01,proof_T1_sieve,stationary_pi_1,0.5,0.5,0.0,,PASS
ch01,proof_T1_sieve,s_equals_half,0.5,0.5,0.0,,PASS
ch01,proof_T1_sieve,empirical_freq_class1,0.4999913877740841,0.5,0.001722,(29028/58057),PASS
ch01,proof_T1_sieve,empirical_freq_class2,0.5000086122259159,0.5,0.001722,(29029/58057),PASS
ch03,proof_conservation,pi1_eq_half_1_minus_alpha,0.29028870866125983,0.2902937088112644,0.001722,pi(1)=0.290289,PASS
ch03,proof_conservation,lambda_1_T3,1.0,1.0,0.0,,PASS
ch03,proof_conservation,lambda_2_T3,-1.0,-1.0,0.0,,PASS
ch03,proof_conservation,lambda_1_T5,0.9999999999999999,1.0,0.0,,PASS
ch03,proof_conservation,lambda_2_T5,-0.33333333333333326,-0.3333333333333333,0.0,,PASS
ch03,proof_conservation,kron_leading_eigenvalue,0.9999999999999999,1.0,0.0,,PASS
ch03,proof_conservation,s_squared,0.25,0.25,0.0,,PASS
ch03,proof_conservation,entropy_theory_vs_numerical,3.9312917179998608,3.931291717999877,0.0,bits,PASS
ch03,proof_conservation,route1_q_plus,0.8666666666666667,0.8666666666666667,0.0,,PASS
ch03,proof_conservation,route1_boltzmann_form,0.056442565964965566,0.05644256596496565,0.0,,PASS
ch03,proof_conservation,route2_q_plus,0.8666666666666667,0.8666666666666667,0.0,,PASS
ch03,proof_conservation,route2_q_minus,0.9355069850316178,0.9355069850316178,0.0,,PASS
ch03,proof_conservation,route2_A_prime_eta,7.500000000000002,7.5,0.0,,PASS
ch03,proof_conservation,route3_q_minus,0.9355069850316178,0.9355069850316178,0.0,,PASS
ch03,proof_conservation,route3_mean_from_q_plus,7.500000000000002,7.5,0.0,,PASS
ch03,proof_conservation,cross_q_plus_r1_r2,0.8666666666666667,0.8666666666666667,0.0,,PASS
ch03,proof_conservation,cross_q_plus_r1_r3,0.8666666666666667,0.8666666666666667,0.0,,PASS
ch03,proof_conservation,cross_q_minus_r1_r2,0.9355069850316178,0.9355069850316178,0.0,,PASS
ch03,proof_conservation,cross_q_minus_r1_r3,0.9355069850316178,0.9355069850316178,0.0,,PASS
ch04,proof_GFT,ruelle_spectral_radius_beta0,1.0,1.0,0.0,spectral_radius,PASS
ch04,proof_GFT,ruelle_spectral_gap_T3,2.0,2.0,0.0,gap,PASS
ch04,proof_GFT,pressure_beta0,1.0,1.0,0.0,,PASS
ch04,proof_GFT,T_full_leading_eigenvalue,1.0000000000000007,1.0,0.0,eigenvalue,PASS
ch08,proof_T5_fixed_point,q_plus_13_over_15,0.8666666666666667,0.8666666666666667,0.0,= 1 - 2/mu*,PASS
ch08,proof_T5_fixed_point,delta_1_over_alpha,42.04131622239203,42.0,0.098372,= 1/alpha(17) - 1/alpha(15),PASS
ch08,proof_T5_fixed_point,inv_alpha_15,136.27833445429476,136.28,0.001222,bare alpha at mu=15,PASS
ch08,proof_T5_fixed_point,inv_alpha_17,178.3196506766868,178.33,0.005803,bare alpha at mu=17,PASS
ch08,proof_T5_fixed_point,stability_lower,11.63002937973539,11.63,0.000253,gamma_7 = 1/2,PASS
ch08,proof_T5_fixed_point,stability_upper,17.975224690877383,17.98,0.026559,gamma_11 = 1/2,PASS
ch08,proof_T5_fixed_point,mertens_ratio_10000,0.9987697373973717,1.0,0.123026,prod(1-1/p) / (e^-gamma/ln p),PASS
ch09,proof_bridge_axioms,g00_fisher_vs_alpha,-0.005749312137481866,-0.005749356546402851,0.000772,at mu*=15,PASS
ch09,proof_bridge_axioms,additive_separability,-0.005749312137481866,-0.005749312137481866,0.0,,PASS
ch09,proof_bridge_axioms,product_form_identity,-4.914699371220393,-4.914699371220393,0.0,,PASS
ch09,proof_bridge_axioms,inv_alpha_product,136.27833445429482,136.27833445429482,0.0,,PASS
ch09,proof_bridge_axioms,beta0_fraction,7.666666666666667,7.666666666666667,0.0,beta_0,PASS
ch09,proof_bridge_axioms,G_over_alpha_2pi,6.283185307179586,6.283185307179586,0.0,Haar measure,PASS
ch09,proof_bridge_axioms,q_minus_exact_exp,0.9355069850316178,0.9355069850316178,0.0,q_minus,PASS
ch09,proof_bridge_axioms,T3_lambda0,0.9999999999999999,1.0,0.0,,PASS
ch09,proof_bridge_axioms,T3_lambda1,-0.5,-0.5,0.0,,PASS
ch09,proof_bridge_axioms,T3_lambda2,-0.5000000000000001,-0.5,0.0,,PASS
ch10,proof_alpha_EM,inv_alpha_bare,136.27833445429482,136.28,0.001222,1/alpha_bare,PASS
ch10,proof_alpha_EM,exact_vs_float,136.27833445429482,136.27833445429476,0.0,,PASS
ch10,proof_alpha_EM,C_K_value,18.29971687168765,18.3,0.001547,C_K,PASS
ch10,proof_alpha_EM,Q_koide_eq_2_3,0.6666666666666669,0.6666666666666666,0.0,,PASS
ch10,proof_alpha_EM,fisher_koide_tree,4.010475201300308,4.0,0.26188,C_K * sin^2_3,PASS
ch10,proof_alpha_EM,nlo_delta_CK,0.04779813073209738,0.047619047619047616,0.376075,delta_CK,PASS
ch10,proof_alpha_EM,c_3D,1.1291500681071593,1.1291500681071593,0.0,,PASS
ch10,proof_alpha_EM,c_2D,1.1605584217036247,1.1605584217036247,0.0,,PASS
ch10,proof_alpha_EM,f_charged,0.9629629629629629,0.9629629629629629,0.0,,PASS
ch10,proof_alpha_EM,Delta_1,0.7582753543274182,0.758,0.036326,Delta_1,PASS
ch10,proof_alpha_EM,inv_alpha_order1,137.03660980862225,137.038,0.001014,,PASS
ch10,proof_alpha_EM,inv_alpha_final,137.03599908340811,137.035999084,0.0,,PASS
ch10,proof_alpha_EM,vs_pt_constants,137.03599908340811,137.0359990834081,0.0,,PASS
ch11,proof_couplings,sin2_tree,0.23770710276110069,0.238,0.123066,sin^2_tree,PASS
ch11,proof_couplings,C_Koide,18.29971687168765,18.3,0.001547,,PASS
ch11,proof_couplings,C_base,0.787439791032319,0.788,0.071093,C_base,PASS
ch11,proof_couplings,alpha_dressing_check,137.03660980862225,137.038,0.001014,,PASS
ch11,proof_couplings,sin2_dressed,0.2319608769788547,0.23121,0.32476,sin^2_W,PASS
ch11,proof_couplings,alpha_s,0.11805671722794375,0.118,0.048065,alpha_s,PASS
ch11,proof_couplings,sin2_tree_vs_ref,0.23770710276110069,0.23770710276110069,0.0,,PASS
ch11,proof_couplings,alpha_s_vs_ref,0.11805671722794375,0.1180567172279475,0.0,,PASS
ch12,proof_quantum,normalization_psi6,1.0,1.0,0.0,sum |psi|^2,PASS
ch12,proof_quantum,partial_trace_rho3_trace,0.9999999999999998,1.0,0.0,tr(rho_3),PASS
ch12,proof_quantum,partial_trace_rho2_trace,0.9999999999999998,1.0,0.0,tr(rho_2),PASS
ch12,proof_quantum,hbar_2_equals_s,0.5,0.5,0.0,hbar(m=2) = s,PASS
ch12,proof_quantum,path_integral_convergence,1.000000000000001,1.0,0.0,Tr(T^100),PASS
ch12,proof_quantum,purity_final_mixed,0.0827425178045759,0.08333333333333333,0.708979,purity(M=210),PASS
ch12,proof_quantum,berry_phase,9.42477796076938,9.42477796076938,0.0,mu_end,PASS
ch13,proof_relativity,G_over_alpha_equals_2pi,6.255605536336956,6.283185307179586,0.438946,Haar measure,PASS
ch13,proof_relativity,H_iso_equals_H_CMB,67.39999999999999,67.4,0.0,km/s/Mpc,PASS
ch13,proof_relativity,spherical_H_mean_equals_H_CMB,67.39516660687488,67.4,0.007171,km/s/Mpc,PASS
ch13,proof_relativity,perron_frobenius_T30,1.0000000000000018,1.0,0.0,lambda_0,PASS
ch13,proof_relativity,H_iso_consistency,67.39999999999999,67.4,0.0,km/s/Mpc,PASS
ch14,proof_thermodynamics,conservation_sum_gaps,1.0,1.0,0.0,sum(gaps)/(N*mu),PASS
ch14,proof_thermodynamics,sieve_temperature,0.06666666666666667,0.06666666666666667,0.0,T_sieve,PASS
ch14,proof_thermodynamics,q_plus_value,0.8666666666666667,0.8666666666666667,0.0,q_plus,PASS
ch14,proof_thermodynamics,q_minus_value,0.9355069850316178,0.9355069850316178,0.0,q_minus,PASS
ch14,proof_thermodynamics,D_parity_analytical,1.06017567631898,0.9997744750022419,6.041483,D_parity,PASS
ch14,proof_thermodynamics,bekenstein_hawking_entropy,0.5248495842444665,0.5248495842444665,0.0,S_BH,PASS
ch14,proof_thermodynamics,mixing_time,1.730153359022881,1.68,2.985319,gaps,PASS
ch14,proof_thermodynamics,ruelle_lambda0,1.0000000000000004,1.0,0.0,lambda_0,PASS
ch14,proof_thermodynamics,hKS_over_H_ratio,0.7900245004627114,0.8,1.246937,h_KS/H,PASS
ch14,proof_thermodynamics,string_tension,6.283185307179586,6.283185307179586,0.0,alpha',PASS
ch14,proof_thermodynamics,string_temperature,0.025330295910584444,0.025330295910584444,0.0,T_string,PASS
ch14,proof_thermodynamics,equation_of_state,999981.0,999981.0,0.0,N*mu,PASS
ch14,proof_thermodynamics,heat_capacity,1.5,1.5,0.0,C_v,PASS
ch14,proof_thermodynamics,radiation_factor,1.0,1.0,0.0,pi^2/mu* vs pi^2/60,PASS
ch14,proof_thermodynamics,critical_exponent_nu,0.5,0.5,0.0,nu = 1/(p_1-1),PASS
ch14,proof_thermodynamics,hawking_temperature_consistency,0.8629926344822209,0.8629926344822209,0.0,T_Hawking,PASS
ch14,proof_thermodynamics,omega_lambda,0.6865322488948558,0.68,0.960625,Omega_Lambda,PASS
ch14,proof_thermodynamics,omega_b,0.04876775110514431,0.05,2.464498,Omega_b,PASS
ch14,proof_thermodynamics,w_cross_check_q0,-0.9982536646116007,-1.0030850066014945,0.481648,w_DE from q_0,PASS
ch14,proof_thermodynamics,D_HL_hardy_littlewood,0.10041049279683634,0.1004,0.010451,bits,PASS
ch15,test_43_observables,alpha_EM,0.0072973525693153215,0.0072973525692838015,0.0,,PASS
ch15,test_43_observables,1/alpha_EM,137.0359990834081,137.035999084,0.0,,PASS
ch15,test_43_observables,sin2_thetaW,0.23118634732083218,0.23121,0.01023,,PASS
ch15,test_43_observables,alpha_s,0.1180567172279475,0.118,0.048065,,PASS
